#Label	Sepal length	Sepal width	Petal length	Petal width	Id
0	5.1	3.5	1.4	0.2	0
0	4.9	3.0	1.4	0.2	1
0	4.7	3.2	1.3	0.2	2
0	4.6	3.1	1.5	0.2	3
0	5.0	3.6	1.4	0.2	4
0	5.4	3.9	1.7	0.4	5
0	4.6	3.4	1.4	0.3	6
0	5.0	3.4	1.5	0.2	7
0	4.4	2.9	1.4	0.2	8
0	4.9	3.1	1.5	0.1	9
0	5.4	3.7	1.5	0.2	10
0	4.8	3.4	1.6	0.2	11
0	4.8	3.0	1.4	0.1	12
0	4.3	3.0	1.1	0.1	13
0	5.8	4.0	1.2	0.2	14
0	5.7	4.4	1.5	0.4	15
0	5.4	3.9	1.3	0.4	16
0	5.1	3.5	1.4	0.3	17
0	5.7	3.8	1.7	0.3	18
0	5.1	3.8	1.5	0.3	19
0	5.4	3.4	1.7	0.2	20
0	5.1	3.7	1.5	0.4	21
0	4.6	3.6	1.0	0.2	22
0	5.1	3.3	1.7	0.5	23
0	4.8	3.4	1.9	0.2	24
0	5.0	3.0	1.6	0.2	25
0	5.0	3.4	1.6	0.4	26
0	5.2	3.5	1.5	0.2	27
0	5.2	3.4	1.4	0.2	28
0	4.7	3.2	1.6	0.2	29
0	4.8	3.1	1.6	0.2	30
0	5.4	3.4	1.5	0.4	31
0	5.2	4.1	1.5	0.1	32
0	5.5	4.2	1.4	0.2	33
0	4.9	3.1	1.5	0.1	34
0	5.0	3.2	1.2	0.2	35
0	5.5	3.5	1.3	0.2	36
0	4.9	3.1	1.5	0.1	37
0	4.4	3.0	1.3	0.2	38
0	5.1	3.4	1.5	0.2	39
0	5.0	3.5	1.3	0.3	40
0	4.5	2.3	1.3	0.3	41
0	4.4	3.2	1.3	0.2	42
0	5.0	3.5	1.6	0.6	43
0	5.1	3.8	1.9	0.4	44
0	4.8	3.0	1.4	0.3	45
0	5.1	3.8	1.6	0.2	46
0	4.6	3.2	1.4	0.2	47
0	5.3	3.7	1.5	0.2	48
0	5.0	3.3	1.4	0.2	49
1	7.0	3.2	4.7	1.4	50
1	6.4	3.2	4.5	1.5	51
1	6.9	3.1	4.9	1.5	52
1	5.5	2.3	4.0	1.3	53
1	6.5	2.8	4.6	1.5	54
1	5.7	2.8	4.5	1.3	55
1	6.3	3.3	4.7	1.6	56
1	4.9	2.4	3.3	1.0	57
1	6.6	2.9	4.6	1.3	58
1	5.2	2.7	3.9	1.4	59
1	5.0	2.0	3.5	1.0	60
1	5.9	3.0	4.2	1.5	61
1	6.0	2.2	4.0	1.0	62
1	6.1	2.9	4.7	1.4	63
1	5.6	2.9	3.6	1.3	64
1	6.7	3.1	4.4	1.4	65
1	5.6	3.0	4.5	1.5	66
1	5.8	2.7	4.1	1.0	67
1	6.2	2.2	4.5	1.5	68
1	5.6	2.5	3.9	1.1	69
1	5.9	3.2	4.8	1.8	70
1	6.1	2.8	4.0	1.3	71
1	6.3	2.5	4.9	1.5	72
1	6.1	2.8	4.7	1.2	73
1	6.4	2.9	4.3	1.3	74
1	6.6	3.0	4.4	1.4	75
1	6.8	2.8	4.8	1.4	76
1	6.7	3.0	5.0	1.7	77
1	6.0	2.9	4.5	1.5	78
1	5.7	2.6	3.5	1.0	79
1	5.5	2.4	3.8	1.1	80
1	5.5	2.4	3.7	1.0	81
1	5.8	2.7	3.9	1.2	82
1	6.0	2.7	5.1	1.6	83
1	5.4	3.0	4.5	1.5	84
1	6.0	3.4	4.5	1.6	85
1	6.7	3.1	4.7	1.5	86
1	6.3	2.3	4.4	1.3	87
1	5.6	3.0	4.1	1.3	88
1	5.5	2.5	4.0	1.3	89
1	5.5	2.6	4.4	1.2	90
1	6.1	3.0	4.6	1.4	91
1	5.8	2.6	4.0	1.2	92
1	5.0	2.3	3.3	1.0	93
1	5.6	2.7	4.2	1.3	94
1	5.7	3.0	4.2	1.2	95
1	5.7	2.9	4.2	1.3	96
1	6.2	2.9	4.3	1.3	97
1	5.1	2.5	3.0	1.1	98
1	5.7	2.8	4.1	1.3	99
2	6.3	3.3	6.0	2.5	100
2	5.8	2.7	5.1	1.9	101
2	7.1	3.0	5.9	2.1	102
2	6.3	2.9	5.6	1.8	103
2	6.5	3.0	5.8	2.2	104
2	7.6	3.0	6.6	2.1	105
2	4.9	2.5	4.5	1.7	106
2	7.3	2.9	6.3	1.8	107
2	6.7	2.5	5.8	1.8	108
2	7.2	3.6	6.1	2.5	109
2	6.5	3.2	5.1	2.0	110
2	6.4	2.7	5.3	1.9	111
2	6.8	3.0	5.5	2.1	112
2	5.7	2.5	5.0	2.0	113
2	5.8	2.8	5.1	2.4	114
2	6.4	3.2	5.3	2.3	115
2	6.5	3.0	5.5	1.8	116
2	7.7	3.8	6.7	2.2	117
2	7.7	2.6	6.9	2.3	118
2	6.0	2.2	5.0	1.5	119
2	6.9	3.2	5.7	2.3	120
2	5.6	2.8	4.9	2.0	121
2	7.7	2.8	6.7	2.0	122
2	6.3	2.7	4.9	1.8	123
2	6.7	3.3	5.7	2.1	124
2	7.2	3.2	6.0	1.8	125
2	6.2	2.8	4.8	1.8	126
2	6.1	3.0	4.9	1.8	127
2	6.4	2.8	5.6	2.1	128
2	7.2	3.0	5.8	1.6	129
2	7.4	2.8	6.1	1.9	130
2	7.9	3.8	6.4	2.0	131
2	6.4	2.8	5.6	2.2	132
2	6.3	2.8	5.1	1.5	133
2	6.1	2.6	5.6	1.4	134
2	7.7	3.0	6.1	2.3	135
2	6.3	3.4	5.6	2.4	136
2	6.4	3.1	5.5	1.8	137
2	6.0	3.0	4.8	1.8	138
2	6.9	3.1	5.4	2.1	139
2	6.7	3.1	5.6	2.4	140
2	6.9	3.1	5.1	2.3	141
2	5.8	2.7	5.1	1.9	142
2	6.8	3.2	5.9	2.3	143
2	6.7	3.3	5.7	2.5	144
2	6.7	3.0	5.2	2.3	145
2	6.3	2.5	5.0	1.9	146
2	6.5	3.0	5.2	2.0	147
2	6.2	3.4	5.4	2.3	148
